@var: pct = 1.3065E-22*Tgas
@format:idx,R,R,R,P,P,P,rate
@photo_start
130,CH3,CH3OH,,CH4,CH3O,,1.12E-15*(Tgas/298.)**(3.10)*exp(-3488./Tgas)
131,CH3O2,HO2,,CH2O,H2O,O2,1.60E-15*exp(-1730./Tgas)
132,CH3O2,HO2,,CH4O2,O2,,3.8e-13*exp(780./Tgas)
133,CH3O2,CH3O2,,CH3O,CH3O,O2,7.40e-13*exp(-520./Tgas)
134,CH3O2,NO,,CH3O,NO2,,2.8e-12*exp(285./Tgas)
135,CH3O2,H,,CH4,O2,,1.17E-11*(Tgas/298.)**(1.02)*exp(-8353./Tgas)
136,CH3O2,H,,CH3O,OH,,1.60e-10
137,CH2OH,O,,CH2O,OH,,7.01E-11
138,CH2OH,OH,,CH2O,H2O,,4.00E-11
139,CH2OH,O2,,HCHO,HO2,,9.10E-12
140,CH3O,O2,,HCHO,HO2,,7.82E-14*exp(-1150./Tgas)
141,CH3O,O,,CH3,O2,,2.51E-11
142,CH3O,O,,HCHO,OH,,1.00e-11
143,CH3O,OH,,HCHO,H2O,,3.01e-11
144,N,O2,,NO,O,,1.5e-11*exp(-3600./Tgas)
145,N,O3,,NO,O2,,2.01e-16
146,N,OH,,NO,H,,4.70e-11
147,N,NO,,N2,O,,2.09e-11*exp(100./Tgas)
148,NO,O3,,NO2,O2,,1.4e-12*exp(-1310./Tgas)
149,O2,NO,NO,NO2,NO2,,3.30E-39*exp(530./Tgas)
150,NO,O,M,NO2,M,,1.01E-31*((Tgas/298.)**-1.60)
151,NO,O,,NO2,,,2.99E-11
152,NO,O,,O2,N,,8.93E-13*((Tgas/298.)**1.13)*exp(-19484./Tgas)
153,NO,HO2,,NO2,OH,,6.42E-12*((Tgas/298.)**-0.43)*exp(95./Tgas)
154,NO,OH,M,HNO2,M,,7.42E-31*((Tgas/298.)**-2.40)
155,NO,OH,,HNO2,,,3.30E-11
156,NO2,O,,NO,O2,,5.50e-12*exp(190./Tgas)
157,NO2,O,M,NO3,M,,9.02E-32*((Tgas/298.)**-2.00)
158,NO2,O,,NO3,,,2.30E-11*((Tgas/298.)**0.24)
159,NO2,OH,M,HNO3,M,,3.30E-30*((Tgas/298.)**-4.50)
160,NO2,OH,,HNO3,,,2.70E-11
161,NO2,OH,,HO2,NO,,3.01E-11*exp(-3360./Tgas)
162,NO2,H,,NO,OH,,1.47e-10
163,HNO3,OH,,H2O,NO3,,1.50e-13
164,HO2,NO2,M,HNO4,M,,1.80E-31*((Tgas/298.)**-3.20)
165,HO2,NO2,,HNO4,,,4.70E-12
166,HNO4,OH,,NO2,H2O,O2,1.90e-12*exp(270./Tgas)
167,HNO4,O,,NO2,OH,O2,7.8e-11*exp(-3400./Tgas)
168,CH4O2,OH,,CH3O2,H2O,,1.9e-12*exp(190./Tgas)
169,CH4O2,OH,,CH2OOH,H2O,,1.00e-12*exp(190./Tgas)
170,CH4O2,OH,,CH2O,OH,H2O,1.68E-12
171,CH3O2,OH,,CH3OH,O2,,1.05E-11*((Tgas/298.)**-1.53)*exp(5./Tgas)
172,CH3O2,OH,,CH3O,HO2,,7.54E-11*((Tgas/298.)**-0.22)*exp(183./Tgas)
173,CH3O2,OH,,H2O,CH2OO,,2.24E-14*((Tgas/298.)**2.88)*exp(595./Tgas)
174,O3,NO2,,O2,NO3,,1.40e-13*exp(-2470./Tgas)
175,NO2,NO3,,N2O5,,,1.90E-12*((Tgas/298.)**0.20)
176,NO2,NO3,M,N2O5,M,,2.81E-30*((Tgas/298.)**-3.50)
177,NO2,NO3,,NO,NO2,O2,4.5e-14*exp(-1260./Tgas)
178,O,NO3,,O2,NO2,,1.70e-11
179,NO,NO3,,NO2,NO2,,1.80e-11*exp(110./Tgas)
180,OH,NO3,,HO2,NO2,,2.0e-11
181,HO2,NO3,,HNO3,O2,,1.91e-12
182,HO2,NO3,,OH,O2,NO2,2.51e-12
183,N2O5,H2O,,HNO3,HNO3,,2.5e-22
184,N2O5,H2O,H2O,HNO3,HNO3,H2O,1.8e-39
185,N2O5,M,,NO2,NO3,M,1.33E-03*(Tgas/298.)**(-3.50e-00)*exp(-11000./Tgas)
186,SO,O2,,O,SO2,,1.60e-13*exp(-2280./Tgas)
187,SO,HO2,,SO2,OH,,2.8E-11
188,SO,O,M,SO2,M,,4.82e-31*(Tgas/298.)**(-2.17e-00)
189,SO,OH,,SO2,H,,8.17e-11*(Tgas/298.)**(-1.35e-00)
190,SO2,OH,,HSO3,,,1.31e-12*(Tgas/298.)**(-0.70e-00)
191,SO2,OH,M,HSO3,M,,3.01E-31*(Tgas/298.)**(-3.30e-00)
192,SO2,O,M,SO3,M,,4.00E-32*exp(-1000/Tgas)
193,SO3,H2O,,H2SO4,,,1.20E-15
194,HSO3,O2,,HO2,SO3,,1.30e-12*exp(-330./Tgas)
195,HSO3,OH,,H2O,SO3,,1.00E-11
196,HSO3,H,,H2,SO3,,1.00E-11
197,HSO3,O,,OH,SO3,,1.00E-11
198,H2S,OH,,H2O,SH,,6.10e-12*exp(-80./Tgas)
199,H2S,H,,H2,SH,,3.66e-12*((Tgas/298.)**1.94)*exp(-455./Tgas)
200,H2S,O,,OH,SH,,9.22e-12*exp(-1800./Tgas)
201,SH,O,,H,SO,,1.60e-10
202,SH,O,,OH,S,,3.8E-13*((Tgas/298.)**0.67)*exp(-1900./Tgas)
203,SH,O2,,OH,SO,,4.00e-19
204,SH,O3,,HSO,O2,,9.50E-12*EXP(-280./Tgas)
205,SH,NO2,,HSO,NO,,2.90E-11*EXP(240./Tgas)
206,SH,HO2,,H2S,O2,,3.00e-11
207,SH,SH,,H2S,S,,1.50e-11
208,SH,SH,,H2,S2,,5.00e-14
209,SH,CHO,,H2S,CO,,5.00E-11
210,SH,H,,H2,S,,3.01e-11
211,SH,S,,H,S2,,4.00e-11
212,SH,HCHO,,H2S,CHO,,1.7E-11*EXP(-800./Tgas)
213,S,O2,,SO,O,,1.50e-13*((Tgas/298.)**2.11)*exp(730./Tgas)
214,S,O3,,SO,O2,,1.20E-11
215,S,OH,,SO,H,,6.60e-11
216,S,HO2,,SH,O2,,1.5E-11
217,S,HO2,,SO,OH,,1.5E-11
218,SO,NO2,,SO2,NO,,1.40e-11
219,SO,O3,,SO2,O2,,4.50e-12*exp(-1170./Tgas)
220,SO2,HO2,,SO3,OH,,8.63E-16
221,SO,SO,,SO2,S,,3.01e-15
222,SO3,SO,,SO2,SO2,,2.00e-15
223,S,CO2,,SO,CO,,1.00e-20
224,SO,CHO,,HSO,CO,,3.5E-12*EXP(140./Tgas)
225,H,SO,,HSO,,,5.34E-11*(Tgas/298.)**(0.60e+00)*exp(122/Tgas)
226,HSO,OH,,H2O,SO,,1.75E-11*(Tgas/298.)**(0.42e+00)*exp(478./Tgas)
227,HSO,H,,SH,OH,,7.56E-11*(Tgas/298.)**(0.21e+00)*exp(4.8/Tgas)
228,HSO,H,,H2,SO,,1.93E-12*(Tgas/298.)**(1.81e+00)*exp(273./Tgas)
229,HSO,SH,,H2S,SO,,1.00E-12
230,HSO,O,,OH,SO,,3.20E-11*(Tgas/298.)**(0.66e+00)*exp(-232./Tgas)
231,HSO,S,,SH,SO,,1.00E-11
232,N2O,H,,N2,OH,,9.22e-14*exp(-0.36/Tgas)
233,N2O,NO,,NO2,N2,,2.E-14*EXP(-25000./Tgas)
234,OH,H,,H2,O,,3.44E-13*(Tgas/298.)**(2.67)*exp(-3160./Tgas)*pct**(0)/exp(-0.1783555400000001*(log(Tgas)-1)+0.0007917047246000001*Tgas/2+-1.762740285999999e-06*Tgas**2/6+1.911596559e-09*Tgas**3/12+-7.202287194000001e-13*Tgas**4/20-766.6119499999986/Tgas+1.656142803)
235,H2O,H,,H2,OH,,1.54E-12**(Tgas/298.)**(1.64)*exp(-1650./Tgas)*pct**(0)/exp(-0.7954217200000002*(log(Tgas)-1)+0.00027811728459999985*Tgas/2+2.167384614e-06*Tgas**2/6+-1.946070461e-09*Tgas**3/12+4.3800895060000005e-13*Tgas**4/20--7142.651569999998/Tgas+3.067064207)
236,OH,O2,,H,O3,,1.4e-10*exp(-470./Tgas)*pct**(0)/exp(1.86705839*(log(Tgas)-1)+-0.007451591339999999*Tgas/2+6.153371400000012e-07*Tgas**2/6+8.77069605e-09*Tgas**3/12+-5.1538088700000005e-12*Tgas**4/20--39033.2031/Tgas+-4.282115697)
237,HO2,M,,H,O2,M,5.47E-32*(Tgas/298.)**(-1.80e+00)*pct**(-1)/exp(-1.9806582899999992*(log(Tgas)-1)+-0.0017523868100000005*Tgas/2+1.1310988490000001e-05*Tgas**2/6+-1.459509631e-08*Tgas**3/12+6.048523880000001e-12*Tgas**4/20--24145.697955/Tgas+0.5056693200000004)
238,HO2,,,H,O2,,5.34E-11*(Tgas/298.)**(0.60e+00)*exp(122/Tgas)*pct**(-1)/exp(-1.9806582899999992*(log(Tgas)-1)+-0.0017523868100000005*Tgas/2+1.1310988490000001e-05*Tgas**2/6+-1.459509631e-08*Tgas**3/12+6.048523880000001e-12*Tgas**4/20--24145.697955/Tgas+0.5056693200000004)
239,OH,O,,H,O2,,3.58E-10*(Tgas/298.)**(-0.29e+00)*exp(-8040./Tgas)*pct**(0)/exp(0.8777949800000004*(log(Tgas)-1)+-0.00268365123*Tgas/2+1.41240228e-06*Tgas**2/6+-3.2593420999999945e-10*Tgas**3/12+2.3212635999999974e-13*Tgas**4/20-8081.4411199999995/Tgas+-1.263057897)
240,H2,O2,,H,HO2,,1.93E-12*(Tgas/298.)**(1.81e+00)*exp(273./Tgas)*pct**(0)/exp(0.48273096999999954*(log(Tgas)-1)+0.0018389343754000001*Tgas/2+-1.1574671834000002e-05*Tgas**2/6+1.4932402931000002e-08*Tgas**3/12+-6.077759850600001e-12*Tgas**4/20--27847.934835/Tgas+-3.87106121)
241,H2O,O,,H,HO2,,2.4e-12*pct**(0)/exp(0.5651042299999998*(log(Tgas)-1)+-0.0005665995699999996*Tgas/2+-7.99488494e-06*Tgas**2/6+1.2660398259999999e-08*Tgas**3/12+-5.407624540000001e-12*Tgas**4/20--26909.145285/Tgas+-2.0670548999999996)
242,OH,OH,,H,HO2,,7.56E-11*(Tgas/298.)**(0.21e+00)*exp(4.8/Tgas)*pct**(0)/exp(1.1821704099999994*(log(Tgas)-1)+-5.301212999999933e-05*Tgas/2+-1.1925009840000002e-05*Tgas**2/6+1.6518065280000002e-08*Tgas**3/12+-6.565862210000001e-12*Tgas**4/20--18999.881765000002/Tgas+-3.4779763040000002)
243,H,O2,,OH,O,,2.4e-11*exp(110./Tgas)*pct**(0)/exp(-0.8777949800000004*(log(Tgas)-1)+0.00268365123*Tgas/2+-1.4124022799999992e-06*Tgas**2/6+3.2593420999999945e-10*Tgas**3/12+-2.3212636000000014e-13*Tgas**4/20--8081.4411199999995/Tgas+1.263057897)
244,H2O,O2,,OH,HO2,,4.80E-11*exp(250./Tgas)*pct**(0)/exp(-0.3126907500000011*(log(Tgas)-1)+0.0021170516600000004*Tgas/2+-9.40728722e-06*Tgas**2/6+1.2986332469999999e-08*Tgas**3/12+-5.639750900000001e-12*Tgas**4/20--34990.586405/Tgas+-0.8039970029999997)
245,HO2,O2,,OH,O3,,3.05E-13*(Tgas/298.)**(2.50e+00)*exp(-402./Tgas)*pct**(0)/exp(0.6848879799999996*(log(Tgas)-1)+-0.007398579210000001*Tgas/2+1.254034698e-05*Tgas**2/6+-7.747369230000003e-09*Tgas**3/12+1.4120533400000017e-12*Tgas**4/20--20033.321335/Tgas+-0.8041393930000011)
246,OH,O2,,HO2,O,,3.20E-11*(Tgas/298.)**(0.66e+00)*exp(-232./Tgas)*pct**(0)/exp(0.3043754299999999*(log(Tgas)-1)+0.0026306390999999998*Tgas/2+-1.3337412120000001e-05*Tgas**2/6+1.684399949e-08*Tgas**3/12+-6.7979885700000016e-12*Tgas**4/20--27081.322885/Tgas+-2.2149184070000003)
247,OH,O2,O2,HO2,O3,,1.97e-16*((Tgas/298.)**4.57)*exp(695./Tgas)*pct**(1)/exp(3.8477166799999996*(log(Tgas)-1)+-0.005699204529999999*Tgas/2+-1.0695651350000002e-05*Tgas**2/6+2.336579236e-08*Tgas**3/12+-1.1202332750000002e-11*Tgas**4/20--14887.505145/Tgas+-4.787785017000001)
248,H2O2,O2,M,HO2,HO2,M,1.90E-33*exp(980/Tgas)*pct**(0)/exp(-0.5059882900000008*(log(Tgas)-1)+0.005654117158*Tgas/2+-1.4828846690000002e-05*Tgas**2/6+1.6195193310000002e-08*Tgas**3/12+-6.251274550000002e-12*Tgas**4/20--19298.72423/Tgas+-0.5019154800000005)
249,HO2,H2O,,H2O2,OH,,2.9e-12*exp(-160./Tgas)*pct**(0)/exp(0.19329754000000143*(log(Tgas)-1)+-0.0035370654980000004*Tgas/2+5.421559470000001e-06*Tgas**2/6+-3.208860840000003e-09*Tgas**3/12+6.115236500000013e-13*Tgas**4/20--15691.862174999998/Tgas+-0.3020815229999999)
250,O2,M,,O,O,M,5.21e-35*exp(900./Tgas)*pct**(-1)/exp(-2.55407784*(log(Tgas)-1)+0.00356190352*Tgas/2+-3.4388259099999993e-06*Tgas**2/6+2.5748373899999995e-09*Tgas**3/12+-9.815910499999999e-13*Tgas**4/20--59308.46196/Tgas+-0.44619118999999996)
251,O3,M,,O,O2,M,5.70E-34*(Tgas/298.)**(-2.60e+00)*pct**(-1)/exp(-3.5433412499999997*(log(Tgas)-1)+0.00832984363*Tgas/2+-2.641760769999998e-06*Tgas**2/6+-6.521792869999998e-09*Tgas**3/12+4.40434418e-12*Tgas**4/20--12193.81774/Tgas+2.57286661)
252,O2,O2,,O,O3,,1.83E-11*exp(-2164./Tgas)*pct**(0)/exp(0.9892634099999995*(log(Tgas)-1)+-0.00476794011*Tgas/2+-7.97065139999998e-07*Tgas**2/6+9.096630259999999e-09*Tgas**3/12+-5.38593523e-12*Tgas**4/20--47114.64422/Tgas+-3.019057800000002)
253,H2O,O,,OH,OH,,1.29E-13*((Tgas/298.)**1.85)*exp(865./Tgas)*pct**(0)/exp(-0.6170661799999997*(log(Tgas)-1)+-0.0005135874400000002*Tgas/2+3.930124899999999e-06*Tgas**2/6+-3.85766702e-09*Tgas**3/12+1.15823767e-12*Tgas**4/20--7909.26352/Tgas+1.410921404)
254,H2O2,M,,OH,OH,M,6.94E-31*((Tgas/298.)**-0.80)*pct**(-1)/exp(-3.66881699*(log(Tgas)-1)+0.003954742478*Tgas/2+8.40715164e-06*Tgas**2/6+-1.491796828e-08*Tgas**3/12+6.3631115399999995e-12*Tgas**4/20--24444.540419999998/Tgas+3.481730144)
255,CO2,H,,CO,OH,,5.40E-14*(Tgas/298.)**(1.50e+00)*exp(250./Tgas)*pct**(0)/exp(-2.71470474*(log(Tgas)-1)+0.01199555014*Tgas/2+-1.275551783e-05*Tgas**2/6+5.429458000000001e-09*Tgas**3/12+-6.0165601e-13*Tgas**4/20--11923.123360000001/Tgas+6.049809827000001)
256,CO2,M,,CO,O,M,1.70E-33*exp(-1515/Tgas)*pct**(-1)/exp(-4.3909876*(log(Tgas)-1)+0.012873802430000001*Tgas/2+-1.4781941459999999e-05*Tgas**2/6+7.67836118e-09*Tgas**3/12+-1.3511207e-12*Tgas**4/20--63150.144199999995/Tgas+4.340560740000001)
257,CHO,M,,H,CO,M,5.29E-34*exp(370./Tgas)*pct**(-1)/exp(-1.8419873999999998*(log(Tgas)-1)+-0.00271039888*Tgas/2+1.29862121e-05*Tgas**2/6+-1.433100536e-08*Tgas**3/12+5.27858657e-12*Tgas**4/20--7257.16215/Tgas+0.24662224000000021)
258,H2,CO,,H,CHO,,1.50e-10*pct**(0)/exp(0.34406007999999977*(log(Tgas)-1)+0.0027969464454*Tgas/2+-1.3249895444e-05*Tgas**2/6+1.4668311981e-08*Tgas**3/12+-5.3078225406e-12*Tgas**4/20--44736.47064/Tgas+-3.61201413)
259,HCHO,CO,,CHO,CHO,,5.00e-11*pct**(0)/exp(-0.10183558000000037*(log(Tgas)-1)+-0.003877181769999999*Tgas/2+1.0332760499999996e-05*Tgas**2/6+-1.0173518839999997e-08*Tgas**3/12+3.5245154500000002e-12*Tgas**4/20--36468.104999999996/Tgas+-2.5054900219999996)
