@var: pct = 1.3065E-22*Tgas
@format:idx,R,R,R,P,P,P,rate
@photo_start
258,H2S,H,,H2,SH,,3.66e-12*((Tgas/298.)**1.94)*exp(-455./Tgas)
259,H2S,O,,OH,SH,,9.22e-12*exp(-1800./Tgas)
260,SH,O,,H,SO,,1.60e-10
261,SH,O,,OH,S,,3.8E-13*((Tgas/298.)**0.67)*exp(-1900./Tgas)
262,SH,O2,,OH,SO,,4.00e-19
263,SH,O3,,HSO,O2,,9.50E-12*EXP(-280./Tgas)
264,SH,NO2,,HSO,NO,,2.90E-11*EXP(240./Tgas)
265,SH,HO2,,H2S,O2,,3.00e-11
266,SH,SH,,H2S,S,,1.50e-11
267,SH,SH,,H2,S2,,5.00e-14
268,SH,CHO,,H2S,CO,,5.00E-11
269,SH,H,,H2,S,,3.01e-11
270,SH,S,,H,S2,,4.00e-11
271,SH,HCHO,,H2S,CHO,,1.7E-11*EXP(-800./Tgas)
272,S,O2,,SO,O,,1.50e-13*((Tgas/298.)**2.11)*exp(730./Tgas)
273,S,O3,,SO,O2,,1.20E-11
274,S,OH,,SO,H,,6.60e-11
275,S,HO2,,SH,O2,,1.5E-11
276,S,HO2,,SO,OH,,1.5E-11
277,SO,NO2,,SO2,NO,,1.40e-11
278,SO,O3,,SO2,O2,,4.50e-12*exp(-1170./Tgas)
279,SO2,HO2,,SO3,OH,,8.63E-16
280,SO,SO,,SO2,S,,3.01e-15
281,SO3,SO,,SO2,SO2,,2.00e-15
282,S,CO2,,SO,CO,,1.00e-20
283,SO,CHO,,HSO,CO,,3.5E-12*EXP(140./Tgas)
284,H,SO,,HSO,,,5.34E-11*(Tgas/298.)**(0.60e+00)*exp(122/Tgas)
285,HSO,OH,,H2O,SO,,1.75E-11*(Tgas/298.)**(0.42e+00)*exp(478./Tgas)
286,HSO,H,,SH,OH,,7.56E-11*(Tgas/298.)**(0.21e+00)*exp(4.8/Tgas)
287,HSO,H,,H2,SO,,1.93E-12*(Tgas/298.)**(1.81e+00)*exp(273./Tgas)
288,HSO,SH,,H2S,SO,,1.00E-12
289,HSO,O,,OH,SO,,3.20E-11*(Tgas/298.)**(0.66e+00)*exp(-232./Tgas)
290,HSO,S,,SH,SO,,1.00E-11
291,N2O,H,,N2,OH,,9.22e-14*exp(-0.36/Tgas)
292,N2O,NO,,NO2,N2,,2.E-14*EXP(-25000./Tgas)
293,OH,H,,H2,O,,3.44E-13*(Tgas/298.)**(2.67)*exp(-3160./Tgas)*pct**(0)/exp(-0.1783555400000001*(log(Tgas)-1)+0.0007917047246000001*Tgas/2+-1.762740285999999e-06*Tgas**2/6+1.911596559e-09*Tgas**3/12+-7.202287194000001e-13*Tgas**4/20-766.6119499999986/Tgas+1.656142803)
294,H2O,H,,H2,OH,,1.54E-12**(Tgas/298.)**(1.64)*exp(-1650./Tgas)*pct**(0)/exp(-0.7954217200000002*(log(Tgas)-1)+0.00027811728459999985*Tgas/2+2.167384614e-06*Tgas**2/6+-1.946070461e-09*Tgas**3/12+4.3800895060000005e-13*Tgas**4/20--7142.651569999998/Tgas+3.067064207)
295,OH,O2,,H,O3,,1.4e-10*exp(-470./Tgas)*pct**(0)/exp(1.86705839*(log(Tgas)-1)+-0.007451591339999999*Tgas/2+6.153371400000012e-07*Tgas**2/6+8.77069605e-09*Tgas**3/12+-5.1538088700000005e-12*Tgas**4/20--39033.2031/Tgas+-4.282115697)
296,HO2,M,,H,O2,M,5.47E-32*(Tgas/298.)**(-1.80e+00)*pct**(-1)/exp(-1.9806582899999992*(log(Tgas)-1)+-0.0017523868100000005*Tgas/2+1.1310988490000001e-05*Tgas**2/6+-1.459509631e-08*Tgas**3/12+6.048523880000001e-12*Tgas**4/20--24145.697955/Tgas+0.5056693200000004)
297,HO2,,,H,O2,,5.34E-11*(Tgas/298.)**(0.60e+00)*exp(122/Tgas)*pct**(-1)/exp(-1.9806582899999992*(log(Tgas)-1)+-0.0017523868100000005*Tgas/2+1.1310988490000001e-05*Tgas**2/6+-1.459509631e-08*Tgas**3/12+6.048523880000001e-12*Tgas**4/20--24145.697955/Tgas+0.5056693200000004)
298,OH,O,,H,O2,,3.58E-10*(Tgas/298.)**(-0.29e+00)*exp(-8040./Tgas)*pct**(0)/exp(0.8777949800000004*(log(Tgas)-1)+-0.00268365123*Tgas/2+1.41240228e-06*Tgas**2/6+-3.2593420999999945e-10*Tgas**3/12+2.3212635999999974e-13*Tgas**4/20-8081.4411199999995/Tgas+-1.263057897)
299,H2,O2,,H,HO2,,1.93E-12*(Tgas/298.)**(1.81e+00)*exp(273./Tgas)*pct**(0)/exp(0.48273096999999954*(log(Tgas)-1)+0.0018389343754000001*Tgas/2+-1.1574671834000002e-05*Tgas**2/6+1.4932402931000002e-08*Tgas**3/12+-6.077759850600001e-12*Tgas**4/20--27847.934835/Tgas+-3.87106121)
300,H2O,O,,H,HO2,,2.4e-12*pct**(0)/exp(0.5651042299999998*(log(Tgas)-1)+-0.0005665995699999996*Tgas/2+-7.99488494e-06*Tgas**2/6+1.2660398259999999e-08*Tgas**3/12+-5.407624540000001e-12*Tgas**4/20--26909.145285/Tgas+-2.0670548999999996)
301,OH,OH,,H,HO2,,7.56E-11*(Tgas/298.)**(0.21e+00)*exp(4.8/Tgas)*pct**(0)/exp(1.1821704099999994*(log(Tgas)-1)+-5.301212999999933e-05*Tgas/2+-1.1925009840000002e-05*Tgas**2/6+1.6518065280000002e-08*Tgas**3/12+-6.565862210000001e-12*Tgas**4/20--18999.881765000002/Tgas+-3.4779763040000002)
302,H,O2,,OH,O,,2.4e-11*exp(110./Tgas)*pct**(0)/exp(-0.8777949800000004*(log(Tgas)-1)+0.00268365123*Tgas/2+-1.4124022799999992e-06*Tgas**2/6+3.2593420999999945e-10*Tgas**3/12+-2.3212636000000014e-13*Tgas**4/20--8081.4411199999995/Tgas+1.263057897)
