  0.14100618E+004 -0.81493567E-100
  0.14110021E+004 -0.29503535E-099
  0.14119430E+004 -0.15846136E-099
  0.14128846E+004 -0.16926188E-098
  0.14138268E+004 -0.21827774E-098
  0.14147697E+004 -0.34674786E-098
  0.14157131E+004  0.27642345E-099
  0.14166572E+004 -0.87071800E-099
  0.14176019E+004 -0.51807108E-098
  0.14185473E+004 -0.81377446E-098
  0.14194933E+004 -0.59090546E-098
  0.14204399E+004 -0.10757930E-097
  0.14213871E+004 -0.13336338E-097
  0.14223350E+004 -0.15037390E-097
  0.14232835E+004 -0.19277288E-097
  0.14242326E+004 -0.24398541E-097
  0.14251824E+004 -0.17506863E-097
  0.14261328E+004 -0.14831254E-097
  0.14270839E+004 -0.28887446E-097
  0.14280355E+004 -0.30822204E-097
  0.14289879E+004 -0.25690029E-097
  0.14299408E+004 -0.29015341E-097
  0.14308944E+004 -0.44757653E-097
  0.14318486E+004 -0.47898738E-097
  0.14328034E+004 -0.34786279E-097
  0.14337589E+004 -0.24705689E-097
  0.14347151E+004 -0.40182709E-097
  0.14356718E+004 -0.48776057E-097
  0.14366292E+004 -0.59623019E-097
  0.14375873E+004 -0.79723040E-097
  0.14385459E+004 -0.60356860E-097
  0.14395053E+004 -0.62120177E-097
  0.14404652E+004 -0.86894477E-097
  0.14414258E+004 -0.99225360E-097
  0.14423871E+004 -0.95930331E-097
  0.14433489E+004 -0.91683869E-097
  0.14443115E+004 -0.74154125E-097
  0.14452746E+004 -0.14164599E-096
  0.14462384E+004 -0.13389438E-096
  0.14472029E+004 -0.43567099E-097
  0.14481680E+004 -0.11421301E-096
  0.14491337E+004 -0.13560376E-096
  0.14501001E+004 -0.15783319E-096
  0.14510671E+004 -0.20613514E-096
  0.14520348E+004 -0.22310268E-096
  0.14530031E+004 -0.21434265E-096
  0.14539720E+004 -0.28710150E-096
  0.14549417E+004 -0.28793484E-096
  0.14559119E+004 -0.33822517E-096
  0.14568828E+004 -0.33958523E-096
  0.14578544E+004 -0.33324916E-096
  0.14588265E+004 -0.32483513E-096
  0.14597994E+004 -0.31227560E-096
  0.14607729E+004 -0.36946051E-096
  0.14617470E+004 -0.34604224E-096
  0.14627218E+004 -0.37693414E-096
  0.14636973E+004 -0.38534780E-096
  0.14646733E+004 -0.39401055E-096
  0.14656501E+004 -0.31065677E-096
  0.14666275E+004 -0.38256522E-096
  0.14676055E+004 -0.41288186E-096
  0.14685842E+004 -0.32333095E-096
  0.14695636E+004 -0.93608486E-097
  0.14705436E+004 -0.21291240E-096
  0.14715242E+004 -0.19709062E-096
  0.14725055E+004 -0.42227511E-096
  0.14734875E+004 -0.48295139E-096
  0.14744701E+004 -0.54526478E-096
  0.14754534E+004 -0.38725388E-096
  0.14764373E+004 -0.38261652E-096
  0.14774219E+004 -0.59395527E-096
  0.14784072E+004 -0.42263217E-096
  0.14793931E+004 -0.53921292E-096
  0.14803796E+004 -0.53172001E-096
  0.14813668E+004 -0.51158217E-096
  0.14823547E+004 -0.54942070E-096
  0.14833432E+004 -0.61637157E-096
  0.14843324E+004 -0.67094428E-096
  0.14853223E+004 -0.60206962E-096
  0.14863128E+004 -0.68914870E-096
  0.14873040E+004 -0.70299311E-096
  0.14882958E+004 -0.61744597E-096
  0.14892883E+004 -0.50807740E-096
  0.14902815E+004 -0.59861863E-096
  0.14912753E+004 -0.65374107E-096
  0.14922698E+004 -0.27498915E-096
  0.14932649E+004 -0.48796079E-096
  0.14942607E+004 -0.48101891E-096
  0.14952572E+004 -0.67558331E-096
  0.14962543E+004 -0.84524342E-096
  0.14972521E+004 -0.92892374E-096
  0.14982506E+004 -0.91139984E-096
  0.14992497E+004 -0.49808532E-096
  0.15002495E+004 -0.75854415E-096
  0.15012500E+004 -0.58105929E-096
  0.15022511E+004 -0.52567681E-096
  0.15032529E+004 -0.74344749E-096
  0.15042554E+004 -0.87656634E-096
  0.15052585E+004 -0.89213444E-096
  0.15062623E+004 -0.10259962E-095
  0.15072668E+004 -0.84689029E-096
  0.15082720E+004 -0.85335554E-096
  0.15092778E+004 -0.70806094E-096
  0.15102843E+004 -0.96472135E-096
  0.15112914E+004 -0.12358159E-095
