# [b'Cross sections for H2CS\nHelgi Rafn Hr\xc3\xb3\xc3\xb0marsson 2022-11-26\nPhotodissociation source: Drury+ (1982), Chiang+ (2005)\nPhotoionization source: Kroto+ (1972)\nwavelength: (nm)\nphotoabsorption:    cross section (cm2)\nphotodissociation:  cross section (cm2)\nphotoionisation:    cross section (cm2)']
# 
# wavelength   photoabsorption photodissociation   photoionisation
  85.8960073       5.25563e-17       8.25720e-18       4.42991e-17
  85.9644964       5.25725e-17       8.27340e-18       4.42991e-17
  86.0324978       5.25886e-17       8.28949e-18       4.42991e-17
  86.1012048       5.26048e-17       8.30575e-18       4.42991e-17
  86.1694227       5.26210e-17       8.32189e-18       4.42991e-17
  86.2377488       5.26371e-17       8.33806e-18       4.42991e-17
  86.3067842       5.26535e-17       8.35440e-18       4.42991e-17
  86.3753284       5.26697e-17       8.37062e-18       4.42991e-17
  86.4439815       5.26859e-17       8.38686e-18       4.42991e-17
  86.5133476       5.27023e-17       8.40327e-18       4.42991e-17
  86.5822204       5.27186e-17       8.41957e-18       4.42991e-17
  86.6512030       5.27350e-17       8.43589e-18       4.42991e-17
  86.7209022       5.27515e-17       8.45239e-18       4.42991e-17
  86.7901060       5.27678e-17       8.46876e-18       4.42991e-17
  86.8600289       5.27844e-17       8.48531e-18       4.42991e-17
  86.9294550       5.28008e-17       8.50173e-18       4.42991e-17
  86.9989923       5.28173e-17       8.51819e-18       4.42991e-17
  87.0692523       5.28339e-17       8.53481e-18       4.42991e-17
  87.1390134       5.28504e-17       8.55132e-18       4.42991e-17
  87.2088864       5.28669e-17       8.56785e-18       4.42991e-17
  87.2794860       5.28836e-17       8.58456e-18       4.42991e-17
  87.3495846       5.29002e-17       8.60115e-18       4.42991e-17
  87.4197958       5.29168e-17       8.61776e-18       4.42991e-17
  87.4907374       5.29336e-17       8.63455e-18       4.42991e-17
  87.5611759       5.29503e-17       8.65121e-18       4.42991e-17
  87.6323472       5.29671e-17       8.66806e-18       4.42991e-17
  87.7030140       5.29838e-17       8.68478e-18       4.42991e-17
  87.7737948       5.30006e-17       8.70152e-18       4.42991e-17
  87.8453123       5.30175e-17       8.71845e-18       4.42991e-17
  87.9163231       5.30343e-17       8.73525e-18       4.42991e-17
  87.9874488       5.30511e-17       8.75208e-18       4.42991e-17
  88.0593151       5.30682e-17       8.76909e-18       4.42991e-17
  88.1306724       5.30850e-17       8.78597e-18       4.42991e-17
  88.2021455       5.31019e-17       8.80288e-18       4.42991e-17
  88.2743630       5.31190e-17       8.81997e-18       4.42991e-17
  88.3460694       5.31360e-17       8.83694e-18       4.42991e-17
  88.4185230       5.31531e-17       8.85408e-18       4.42991e-17
  88.4904639       5.31702e-17       8.87111e-18       4.42991e-17
  88.5625219       5.31872e-17       8.88816e-18       4.42991e-17
  88.6353311       5.32044e-17       8.90538e-18       4.42991e-17
  88.7076254       5.32216e-17       8.92249e-18       4.42991e-17
  88.7800377       5.32387e-17       8.93963e-18       4.42991e-17
  88.8532051       5.32560e-17       8.95694e-18       4.42991e-17
  88.9258554       5.32732e-17       8.97413e-18       4.42991e-17
  88.9986245       5.32904e-17       8.99135e-18       4.42991e-17
  89.0721528       5.33078e-17       9.00875e-18       4.42991e-17
  89.1451617       5.33251e-17       9.02602e-18       4.42991e-17
  89.2182904       5.33424e-17       9.04333e-18       4.42991e-17
  89.2921823       5.33599e-17       9.06081e-18       4.42991e-17
  89.3655525       5.33772e-17       9.07817e-18       4.42991e-17
  89.4396885       5.33948e-17       9.09571e-18       4.42991e-17
  89.5133015       5.34122e-17       9.11313e-18       4.42991e-17
  89.5870356       5.34296e-17       9.13058e-18       4.42991e-17
  89.6615398       5.34473e-17       9.14821e-18       4.42991e-17
  89.7355185       5.34648e-17       9.16571e-18       4.42991e-17
  89.8096194       5.34823e-17       9.18325e-18       4.42991e-17
  89.8844944       5.35000e-17       9.20097e-18       4.42991e-17
  89.9588416       5.35176e-17       9.21856e-18       4.42991e-17
  90.0333119       5.35352e-17       9.23618e-18       4.42991e-17
  90.1085605       5.35530e-17       9.25398e-18       4.42991e-17
  90.1832790       5.35707e-17       9.27166e-18       4.42991e-17
  90.2587786       5.35886e-17       9.28953e-18       4.42991e-17
  90.3337466       5.36063e-17       9.30727e-18       4.42991e-17
  90.4088392       5.36241e-17       9.32504e-18       4.42991e-17
  90.4847171       5.36421e-17       9.34299e-18       4.42991e-17
  90.5600609       5.36599e-17       9.36082e-18       4.42991e-17
  90.6355304       5.36777e-17       9.37868e-18       4.42991e-17
  90.7117895       5.36958e-17       9.39672e-18       4.42991e-17
  90.7875122       5.37137e-17       9.41464e-18       4.42991e-17
  90.8633614       5.37317e-17       9.43259e-18       4.42991e-17
  90.9400044       5.37498e-17       9.45072e-18       4.42991e-17
  91.0161088       5.37678e-17       9.46873e-18       4.42991e-17
  91.0930098       5.37860e-17       9.48693e-18       4.42991e-17
  91.1693706       5.38041e-17       9.50500e-18       4.42991e-17
  91.2458595       5.38222e-17       9.52310e-18       4.42991e-17
  91.3231494       5.38404e-17       9.54138e-18       4.42991e-17
  91.3998967       5.38586e-17       9.55954e-18       4.42991e-17
  91.4767730       5.38768e-17       9.57773e-18       4.42991e-17
  91.5544548       5.38952e-17       9.59612e-18       4.42991e-17
  91.6315915       5.39134e-17       9.61437e-18       4.42991e-17
  91.7088583       5.39317e-17       9.63265e-18       4.42991e-17
  91.7869349       5.39502e-17       9.65113e-18       4.42991e-17
  91.8644640       5.39685e-17       9.66947e-18       4.42991e-17
  91.9428060       5.39871e-17       9.68801e-18       4.42991e-17
  92.0205987       5.40055e-17       9.70642e-18       4.42991e-17
  92.0985232       5.40239e-17       9.72486e-18       4.42991e-17
  92.1772650       5.40426e-17       9.74349e-18       4.42991e-17
  92.2554552       5.40611e-17       9.76199e-18       4.42991e-17
  92.3337781       5.40796e-17       9.78052e-18       4.42991e-17
  92.4129229       5.40983e-17       9.79925e-18       4.42991e-17
  92.4915135       5.41169e-17       9.81785e-18       4.42991e-17
  92.5702379       5.41355e-17       9.83647e-18       4.42991e-17
  92.6497888       5.41544e-17       9.85530e-18       4.42991e-17
  92.7287830       5.41731e-17       9.87399e-18       4.42991e-17
  92.8079120       5.41918e-17       9.89271e-18       4.42991e-17
  92.8878720       5.42107e-17       9.91163e-18       4.42991e-17
  92.9672729       5.42295e-17       9.93042e-18       4.42991e-17
  93.0475079       5.42485e-17       9.94941e-18       4.42991e-17
  93.1271821       5.42673e-17       9.96826e-18       4.42991e-17
  93.2069928       5.42862e-17       9.98714e-18       4.42991e-17
  93.2876423       5.43053e-17       1.00062e-17       4.42991e-17
  93.3677284       5.43242e-17       1.00252e-17       4.42991e-17
  93.4479521       5.43432e-17       1.00442e-17       4.42991e-17
  93.5290193       5.43624e-17       1.00633e-17       4.42991e-17
  93.6095205       5.43815e-17       1.00824e-17       4.42991e-17
  93.6901605       5.44005e-17       1.01015e-17       4.42991e-17
  93.7716487       5.44198e-17       1.01208e-17       4.42991e-17
  93.8525683       5.44390e-17       1.01399e-17       4.42991e-17
  93.9343393       5.44583e-17       1.01593e-17       4.42991e-17
  94.0155401       5.44775e-17       1.01785e-17       4.42991e-17
  94.0968814       5.44968e-17       1.01977e-17       4.42991e-17
  94.1790789       5.45162e-17       1.02172e-17       4.42991e-17
  94.2607036       5.45355e-17       1.02365e-17       4.42991e-17
  94.3424698       5.45549e-17       1.02558e-17       4.42991e-17
  94.4250972       5.45744e-17       1.02754e-17       4.42991e-17
  94.5071490       5.45939e-17       1.02948e-17       4.42991e-17
  94.5893436       5.46133e-17       1.03142e-17       4.42991e-17
  94.6724041       5.46330e-17       1.03339e-17       4.42991e-17
  94.7548865       5.46525e-17       1.03534e-17       4.42991e-17
  94.8382381       5.46722e-17       1.03731e-17       4.42991e-17
  94.9210098       5.46918e-17       1.03927e-17       4.42991e-17
  95.0039262       5.47114e-17       1.04123e-17       4.42991e-17
  95.0877167       5.47312e-17       1.04322e-17       4.42991e-17
  95.1709247       5.47509e-17       1.04519e-17       4.42991e-17
  95.2542784       5.47706e-17       1.04716e-17       4.42991e-17
  95.3385113       5.47906e-17       1.04915e-17       4.42991e-17
  95.4221590       5.48104e-17       1.05113e-17       4.42991e-17
  95.5059536       5.48302e-17       1.05311e-17       4.42991e-17
  95.5906324       5.48502e-17       1.05512e-17       4.42991e-17
  95.6747232       5.48701e-17       1.05711e-17       4.42991e-17
  95.7589622       5.48901e-17       1.05910e-17       4.42991e-17
  95.8440904       5.49102e-17       1.06111e-17       4.42991e-17
  95.9286280       5.49302e-17       1.06311e-17       4.42991e-17
  96.0140584       5.49504e-17       1.06514e-17       4.42991e-17
  96.0988962       5.49705e-17       1.06714e-17       4.42991e-17
  96.1838840       5.49906e-17       1.06915e-17       4.42991e-17
  96.2697698       5.50109e-17       1.07119e-17       4.42991e-17
  96.3550603       5.50311e-17       1.07320e-17       4.42991e-17
  96.4405021       5.50513e-17       1.07523e-17       4.42991e-17
  96.5268470       5.50718e-17       1.07727e-17       4.42991e-17
  96.6125938       5.50921e-17       1.07930e-17       4.42991e-17
  96.6984931       5.51124e-17       1.08133e-17       4.42991e-17
  96.7853008       5.51329e-17       1.08339e-17       4.42991e-17
  96.8715076       5.51533e-17       1.08543e-17       4.42991e-17
  96.9586263       5.51739e-17       1.08749e-17       4.42991e-17
  97.0451423       5.51944e-17       1.08953e-17       4.42991e-17
  97.1318129       5.52149e-17       1.09158e-17       4.42991e-17
  97.2194007       5.52356e-17       1.09366e-17       4.42991e-17
  97.3063829       5.52562e-17       1.09572e-17       4.42991e-17
  97.3935208       5.52768e-17       1.09778e-17       4.42991e-17
  97.4815815       5.52977e-17       1.09986e-17       4.42991e-17
  97.5690337       5.53184e-17       1.10193e-17       4.42991e-17
  97.6566429       5.53391e-17       1.10400e-17       4.42991e-17
  97.7451802       5.53600e-17       1.10610e-17       4.42991e-17
  97.8331062       5.53809e-17       1.10818e-17       4.42991e-17
  97.9219639       5.54019e-17       1.11028e-17       4.42991e-17
  98.0102084       5.54228e-17       1.11237e-17       4.42991e-17
  98.0986121       5.54437e-17       1.11446e-17       4.42991e-17
  98.1879530       5.54648e-17       1.11658e-17       4.42991e-17
  98.2766777       5.54858e-17       1.11867e-17       4.42991e-17
  98.3655630       5.55068e-17       1.12078e-17       4.42991e-17
  98.4553910       5.55281e-17       1.12290e-17       4.42991e-17
  98.5445999       5.55492e-17       1.12501e-17       4.42991e-17
  98.6339707       5.55704e-17       1.12713e-17       4.42991e-17
  98.7242898       5.55917e-17       1.12927e-17       4.42991e-17
  98.8139869       5.56130e-17       1.13139e-17       4.42991e-17
  98.9046362       5.56344e-17       1.13353e-17       4.42991e-17
  98.9946615       5.56557e-17       1.13566e-17       4.42991e-17
  99.0848508       5.56770e-17       1.13780e-17       4.42991e-17
  99.1759980       5.56986e-17       1.13995e-17       4.42991e-17
  99.2665182       5.55171e-17       1.14210e-17       4.40961e-17
  99.3572038       5.53180e-17       1.14424e-17       4.38755e-17
  99.4488529       5.51132e-17       1.14641e-17       4.36491e-17
  99.5398721       5.49142e-17       1.14856e-17       4.34286e-17
  99.6310580       5.47211e-17       1.15072e-17       4.32139e-17
  99.7232133       5.45575e-17       1.15290e-17       4.30285e-17
  99.8147356       5.43821e-17       1.15507e-17       4.28314e-17
  99.9064261       5.42067e-17       1.15724e-17       4.26343e-17
  99.9990917       5.40256e-17       1.15943e-17       4.24313e-17
 100.0911214       5.38620e-17       1.16161e-17       4.22459e-17
 100.1841301       5.37279e-17       1.16381e-17       4.20898e-17
 100.2765008       5.35820e-17       1.16600e-17       4.19220e-17
 100.3690420       5.34185e-17       1.16818e-17       4.17366e-17
 100.4625681       5.32318e-17       1.17040e-17       4.15278e-17
 100.5554532       5.30273e-17       1.17260e-17       4.13014e-17
 100.6485103       5.28346e-17       1.17480e-17       4.10867e-17
 100.7425582       5.26598e-17       1.17702e-17       4.08896e-17
 100.8359620       5.25199e-17       1.17923e-17       4.07276e-17
 100.9295392       5.23918e-17       1.18145e-17       4.05774e-17
 101.0241134       5.22523e-17       1.18369e-17       4.04154e-17
 101.1180402       5.21008e-17       1.18591e-17       4.02417e-17
 101.2129681       5.19320e-17       1.18815e-17       4.00505e-17
 101.3072467       5.17572e-17       1.19039e-17       3.98534e-17
 101.4017010       5.16000e-17       1.19262e-17       3.96738e-17
 101.4971625       5.14548e-17       1.19488e-17       3.95060e-17
 101.5919715       5.13212e-17       1.19712e-17       3.93499e-17
 101.6869577       5.11758e-17       1.19937e-17       3.91821e-17
 101.7829574       5.09956e-17       1.20164e-17       3.89792e-17
 101.8783013       5.07917e-17       1.20390e-17       3.87527e-17
 101.9738239       5.05703e-17       1.20616e-17       3.85088e-17
 102.0703662       5.03375e-17       1.20844e-17       3.82530e-17
 102.1662496       5.00986e-17       1.21071e-17       3.79915e-17
 102.2631567       4.98717e-17       1.21300e-17       3.77416e-17
 102.3594028       4.96563e-17       1.21528e-17       3.75035e-17
 102.4558302       4.94644e-17       1.21756e-17       3.72888e-17
 102.5532878       4.92787e-17       1.21987e-17       3.70800e-17
 102.6500810       4.90693e-17       1.22216e-17       3.68477e-17
 102.7470571       4.88424e-17       1.22445e-17       3.65978e-17
 102.8450698       4.85864e-17       1.22677e-17       3.63187e-17
 102.9424148       4.82952e-17       1.22908e-17       3.60044e-17
 103.0399444       4.79746e-17       1.23138e-17       3.56608e-17
 103.1385168       4.76075e-17       1.23372e-17       3.52703e-17
 103.2364185       4.72167e-17       1.23603e-17       3.48564e-17
 103.3353674       4.68262e-17       1.23838e-17       3.44424e-17
 103.4336433       4.64472e-17       1.24070e-17       3.40402e-17
 103.5321063       4.60976e-17       1.24303e-17       3.36673e-17
 103.6316231       4.57776e-17       1.24539e-17       3.33237e-17
 103.7304635       4.54105e-17       1.24772e-17       3.29332e-17
 103.8294927       4.50317e-17       1.25007e-17       3.25310e-17
 103.9295823       4.45711e-17       1.25244e-17       3.20468e-17
 104.0289923       4.40577e-17       1.25479e-17       3.15098e-17
 104.1285925       4.35618e-17       1.25714e-17       3.09904e-17
 104.2292599       4.31014e-17       1.25953e-17       3.05062e-17
 104.3292442       4.27111e-17       1.26189e-17       3.00922e-17
 104.4294206       4.23912e-17       1.26426e-17       2.97486e-17
 104.5306707       4.20892e-17       1.26666e-17       2.94226e-17
 104.6312344       4.17928e-17       1.26904e-17       2.91024e-17
 104.7328765       4.13167e-17       1.27144e-17       2.86022e-17
 104.8338298       4.08329e-17       1.27383e-17       2.80945e-17
 104.9349779       4.03374e-17       1.27623e-17       2.75751e-17
 105.0372113       3.98187e-17       1.27864e-17       2.70323e-17
 105.1387525       3.93468e-17       1.28105e-17       2.65363e-17
 105.2404901       3.89804e-17       1.28345e-17       2.61458e-17
 105.3433199       3.86787e-17       1.28589e-17       2.58198e-17
 105.4454541       3.84003e-17       1.28830e-17       2.55172e-17
 105.5477865       3.81102e-17       1.29073e-17       2.52029e-17
 105.6512180       3.77793e-17       1.29317e-17       2.48476e-17
 105.7539503       3.74014e-17       1.29560e-17       2.44454e-17
 105.8577865       3.69886e-17       1.29806e-17       2.40080e-17
 105.9609212       3.65405e-17       1.30050e-17       2.35355e-17
 106.0642570       3.61393e-17       1.30295e-17       2.31098e-17
 106.1687037       3.57677e-17       1.30542e-17       2.27135e-17
 106.2724454       3.55014e-17       1.30787e-17       2.24226e-17
 106.3763900       3.52761e-17       1.31033e-17       2.21728e-17
 106.4814527       3.51332e-17       1.31282e-17       2.20050e-17
 106.5858068       3.50252e-17       1.31529e-17       2.18723e-17
 106.6903656       3.49583e-17       1.31776e-17       2.17807e-17
 106.7960497       3.48800e-17       1.32026e-17       2.16773e-17
 106.9010216       3.48014e-17       1.32275e-17       2.15740e-17
 107.0071236       3.47173e-17       1.32526e-17       2.14648e-17
 107.1125111       3.46448e-17       1.32775e-17       2.13673e-17
 107.2181064       3.46698e-17       1.33025e-17       2.13673e-17
 107.3248391       3.46950e-17       1.33278e-17       2.13673e-17
 107.4308536       3.47201e-17       1.33528e-17       2.13673e-17
 107.5370778       3.47452e-17       1.33780e-17       2.13673e-17
 107.6444468       3.47706e-17       1.34034e-17       2.13673e-17
 107.7510940       3.47959e-17       1.34286e-17       2.13673e-17
 107.8579528       3.48212e-17       1.34539e-17       2.13673e-17
 107.9659638       3.48467e-17       1.34795e-17       2.13673e-17
 108.0732493       3.48721e-17       1.35048e-17       2.13673e-17
 108.1807483       3.48975e-17       1.35303e-17       2.13673e-17
 108.2894072       3.49232e-17       1.35560e-17       2.13673e-17
 108.3973368       3.49488e-17       1.35815e-17       2.13673e-17
 108.5064314       3.49746e-17       1.36073e-17       2.13673e-17
 108.6147943       3.50002e-17       1.36330e-17       2.13673e-17
 108.7233739       3.50259e-17       1.36587e-17       2.13673e-17
 108.8331260       3.50519e-17       1.36846e-17       2.13673e-17
 108.9421428       3.50777e-17       1.37104e-17       2.13673e-17
 109.0513781       3.51035e-17       1.37363e-17       2.13673e-17
 109.1617939       3.51297e-17       1.37624e-17       2.13673e-17
 109.2714704       3.51556e-17       1.37884e-17       2.13673e-17
 109.3813675       3.51816e-17       1.38144e-17       2.13673e-17
 109.4924528       3.52079e-17       1.38407e-17       2.13673e-17
 109.6027951       3.52340e-17       1.38668e-17       2.13673e-17
 109.7143308       3.52604e-17       1.38932e-17       2.13673e-17
 109.8251210       3.52866e-17       1.39194e-17       2.13673e-17
 109.9361351       3.53129e-17       1.39456e-17       2.13673e-17
 110.0483507       3.53395e-17       1.39722e-17       2.13673e-17
 110.1598168       3.53658e-17       1.39986e-17       2.13673e-17
 110.2715090       3.53923e-17       1.40250e-17       2.13673e-17
 110.3844106       3.54190e-17       1.40517e-17       2.13673e-17
 110.4965589       3.54455e-17       1.40783e-17       2.13673e-17
 110.6089353       3.54721e-17       1.41048e-17       2.13673e-17
 110.7225293       3.54990e-17       1.41317e-17       2.13673e-17
 110.8353660       3.55257e-17       1.41584e-17       2.13673e-17
 110.9494258       3.55527e-17       1.41854e-17       2.13673e-17
 111.0627257       3.55795e-17       1.42122e-17       2.13673e-17
 111.1762572       3.56063e-17       1.42391e-17       2.13673e-17
 111.2910201       3.56335e-17       1.42662e-17       2.13673e-17
