# [b'Cross sections for HNC\nHelgi Rafn Hr\xc3\xb3\xc3\xb0marsson 2022-11-24\nPhotodissociation source: Aguado+ (2017)\nPhotoionization source: Gans+ (2019)\nwavelength: (nm)\nphotoabsorption:    cross section (cm2)\nphotodissociation:  cross section (cm2)\nphotoionisation:    cross section (cm2)']
# 
# wavelength   photoabsorption photodissociation   photoionisation
  84.3144025       5.87253e-17       0.00000e+00       5.87253e-17
  84.3310339       5.86948e-17       0.00000e+00       5.86948e-17
  84.3482458       5.86620e-17       0.00000e+00       5.86620e-17
  84.3648905       5.86270e-17       0.00000e+00       5.86270e-17
  84.3821162       5.85903e-17       0.00000e+00       5.85903e-17
  84.3987743       5.85515e-17       0.00000e+00       5.85515e-17
  84.4160138       5.85104e-17       0.00000e+00       5.85104e-17
  84.4326853       5.84665e-17       0.00000e+00       5.84665e-17
  84.4499387       5.84205e-17       0.00000e+00       5.84205e-17
  84.4666236       5.83716e-17       0.00000e+00       5.83716e-17
  84.4838908       5.83200e-17       0.00000e+00       5.83200e-17
  84.5005892       5.82662e-17       0.00000e+00       5.82662e-17
  84.5178703       5.82090e-17       0.00000e+00       5.82090e-17
  84.5345821       5.81497e-17       0.00000e+00       5.81497e-17
  84.5518771       5.80881e-17       0.00000e+00       5.80881e-17
  84.5686023       5.80232e-17       0.00000e+00       5.80232e-17
  84.5859113       5.79560e-17       0.00000e+00       5.79560e-17
  84.6026500       5.78872e-17       0.00000e+00       5.78872e-17
  84.6199729       5.78146e-17       0.00000e+00       5.78146e-17
  84.6367251       5.77408e-17       0.00000e+00       5.77408e-17
  84.6540619       5.76648e-17       0.00000e+00       5.76648e-17
  84.6708276       5.75871e-17       0.00000e+00       5.75871e-17
  84.6881784       5.75089e-17       0.00000e+00       5.75089e-17
  84.7049577       5.74302e-17       0.00000e+00       5.74302e-17
  84.7223225       5.73497e-17       0.00000e+00       5.73497e-17
  84.7391152       5.72693e-17       0.00000e+00       5.72693e-17
  84.7564940       5.71894e-17       0.00000e+00       5.71894e-17
  84.7733003       5.71107e-17       0.00000e+00       5.71107e-17
  84.7906932       5.70324e-17       0.00000e+00       5.70324e-17
  84.8075130       5.69553e-17       0.00000e+00       5.69553e-17
  84.8249199       5.68793e-17       0.00000e+00       5.68793e-17
  84.8417534       5.68050e-17       0.00000e+00       5.68050e-17
  84.8591743       5.67329e-17       0.00000e+00       5.67329e-17
  84.8760214       5.66624e-17       0.00000e+00       5.66624e-17
  84.8934564       5.65948e-17       0.00000e+00       5.65948e-17
  84.9103171       5.65287e-17       0.00000e+00       5.65287e-17
  84.9277662       5.64644e-17       0.00000e+00       5.64644e-17
  84.9446405       5.64033e-17       0.00000e+00       5.64033e-17
  84.9621037       5.63440e-17       0.00000e+00       5.63440e-17
  84.9789917       5.62863e-17       0.00000e+00       5.62863e-17
  84.9964690       5.62313e-17       0.00000e+00       5.62313e-17
  85.0133706       5.61775e-17       0.00000e+00       5.61775e-17
  85.0308621       5.61253e-17       0.00000e+00       5.61253e-17
  85.0477774       5.60759e-17       0.00000e+00       5.60759e-17
  85.0652831       5.60276e-17       0.00000e+00       5.60276e-17
  85.0822121       5.59805e-17       0.00000e+00       5.59805e-17
  85.0997319       5.59350e-17       0.00000e+00       5.59350e-17
  85.1166747       5.58900e-17       0.00000e+00       5.58900e-17
  85.1342087       5.58456e-17       0.00000e+00       5.58456e-17
  85.1511651       5.58023e-17       0.00000e+00       5.58023e-17
  85.1687134       5.57590e-17       0.00000e+00       5.57590e-17
  85.1856836       5.57162e-17       0.00000e+00       5.57162e-17
  85.2032461       5.56735e-17       0.00000e+00       5.56735e-17
  85.2202300       5.56307e-17       0.00000e+00       5.56307e-17
  85.2378068       5.55880e-17       0.00000e+00       5.55880e-17
  85.2548045       5.55452e-17       0.00000e+00       5.55452e-17
  85.2723955       5.55025e-17       0.00000e+00       5.55025e-17
  85.2894071       5.54598e-17       0.00000e+00       5.54598e-17
  85.3070124       5.54170e-17       0.00000e+00       5.54170e-17
  85.3240377       5.53743e-17       0.00000e+00       5.53743e-17
  85.3416573       5.53315e-17       0.00000e+00       5.53315e-17
